交易所,合约,合约名称,品种,合约乘数,开仓费率,开仓费/手,平仓费率,平仓费/手,平今仓费率,平今仓费/手,最新价,成交量,空盘量,1手开仓手续费,1手平仓手续费,1手平今仓手续费,做多保证金率,做多保证金/手,做空保证金率,做空保证金/手,做多1手保证金,做空1手保证金,最小跳动价位,1Tick盈亏
SHFE,zn2310,zn2310,zn,5,0.000000,3.0,0.000000,3.0,0.000000,0.0,21670.000000000004,132485,72545.0,3.0,3.0,0.0,0.16,0.0,0.16,0.0,17336.000000000004,17336.000000000004,5.0,25.0
DCE,pp2310,聚丙烯2310,pp,5,0.000000,1.0,0.000000,1.0,0.000000,1.0,7952.0,2283,4526.0,1.0,1.0,1.0,0.18,0.0,0.18,0.0,7156.8,7156.8,1.0,5.0
CZCE,ZC310,煤10月,ZC,100,0.000000,3.0,0.000000,3.0,0.000000,0.0,801.4,0,0.0,3.0,3.0,0.0,0.2,0.0,0.2,0.0,16028.0,16028.0,0.2,20.0
DCE,l2310,聚乙烯2310,l,5,0.000000,2.0,0.000000,2.0,0.000000,1.0,8277.0,2706,3856.0,2.0,2.0,1.0,0.18,0.0,0.18,0.0,7449.299999999999,7449.299999999999,1.0,5.0
DCE,eg2309,乙二醇2309,eg,10,0.000000,4.0,0.000000,4.0,0.000000,2.0,4102.0,0,46.0,4.0,4.0,2.0,0.18,0.0,0.18,0.0,7383.599999999999,7383.599999999999,1.0,10.0
DCE,pg2309,液化石油气2309,pg,20,0.000000,6.0,0.000000,6.0,0.000000,6.0,5050.0,0,0.0,6.0,6.0,6.0,0.18,0.0,0.18,0.0,18180.0,18180.0,1.0,20.0
DCE,lh2309,生猪2309,lh,16,0.000200,0.0,0.000200,0.0,0.000400,0.0,16500.0,36,0.0,52.800000000000004,52.800000000000004,105.60000000000001,0.19,0.0,0.19,0.0,50160.0,50160.0,5.0,80.0
DCE,jd2309,鸡蛋2309,jd,10,0.000150,0.0,0.000150,0.0,0.000150,0.0,4605.0,9,302.0,6.907500000000001,6.907500000000001,6.907500000000001,0.15,0.0,0.15,0.0,6907.5,6907.5,1.0,10.0
DCE,eb2309,苯乙烯2309,eb,5,0.000000,6.0,0.000000,6.0,0.000000,6.0,9156.0,2,677.0,6.0,6.0,6.0,0.19,0.0,0.19,0.0,8698.2,8698.2,1.0,5.0
DCE,v2310,聚氯乙烯2310,v,5,0.000000,2.0,0.000000,2.0,0.000000,0.0,6237.0,3837,15935.0,2.0,2.0,0.0,0.18,0.0,0.18,0.0,5613.3,5613.3,1.0,5.0
